epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
184,17700.6,0.34164,0.45608,0.9531,0.93193,0.92433,0.95577,0.90779,0.32024,0.33019,0.92189,0.0009415,0.0009415,0.0009415
185,17795.2,0.33884,0.4494,0.949,0.93208,0.9244,0.95575,0.90783,0.32023,0.33026,0.92188,0.000892,0.000892,0.000892
186,17892,0.33604,0.44602,0.94878,0.93184,0.92483,0.95573,0.90765,0.32017,0.33018,0.92187,0.0008425,0.0008425,0.0008425
187,17986.8,0.3361,0.44228,0.95084,0.93181,0.92471,0.9557,0.90794,0.32019,0.33048,0.9219,0.000793,0.000793,0.000793
188,18082.1,0.33593,0.43556,0.95072,0.93189,0.92501,0.95559,0.90784,0.32019,0.33103,0.92188,0.0007435,0.0007435,0.0007435
189,18179.2,0.33529,0.43561,0.95212,0.93065,0.92645,0.95555,0.90785,0.32016,0.33124,0.92186,0.000694,0.000694,0.000694
190,18274.5,0.3374,0.44174,0.94883,0.93165,0.92496,0.95552,0.90802,0.32012,0.33124,0.92186,0.0006445,0.0006445,0.0006445
191,18404.6,0.26061,0.20365,0.90619,0.92771,0.92876,0.95545,0.90795,0.32015,0.33146,0.92192,0.000595,0.000595,0.000595
192,18498.4,0.2543,0.18945,0.90488,0.92798,0.92884,0.95541,0.90787,0.32017,0.33153,0.92193,0.0005455,0.0005455,0.0005455
193,18592.5,0.25157,0.1844,0.89974,0.92832,0.92875,0.95535,0.90781,0.32015,0.33155,0.9219,0.000496,0.000496,0.000496
194,18688.8,0.24962,0.18254,0.90247,0.92759,0.92959,0.95535,0.90776,0.32015,0.33153,0.92182,0.0004465,0.0004465,0.0004465
195,18783.4,0.25012,0.17718,0.90181,0.92717,0.93015,0.9554,0.90786,0.32018,0.33179,0.92184,0.000397,0.000397,0.000397
196,18877.7,0.24744,0.17636,0.89718,0.92684,0.93051,0.95534,0.90767,0.32021,0.33191,0.92187,0.0003475,0.0003475,0.0003475
197,18973.7,0.24463,0.17456,0.89748,0.92536,0.9314,0.95541,0.90773,0.32025,0.33191,0.92188,0.000298,0.000298,0.000298
198,19068.8,0.24449,0.16988,0.89743,0.9256,0.9316,0.95541,0.90769,0.32026,0.33192,0.92189,0.0002485,0.0002485,0.0002485
199,19164.3,0.24177,0.1712,0.89631,0.92549,0.93183,0.95544,0.90784,0.32032,0.33229,0.92191,0.000199,0.000199,0.000199
200,19261.4,0.24319,0.16735,0.8994,0.92594,0.93118,0.95539,0.90768,0.32031,0.33247,0.9219,0.0001495,0.0001495,0.0001495
